,heading,key,value
0,Engine and Transmission,Color,White
1,Engine and Transmission,Engine Type,2AR FXE Petrol Engine 
2,Engine and Transmission,Displacement,2494
3,Engine and Transmission,Max Power,158.2bhp@5700rpm
4,Engine and Transmission,Max Torque,213Nm@4500rpm
5,Engine and Transmission,No of Cylinder,4
6,Engine and Transmission,Values per Cylinder,4
7,Engine and Transmission,Value Configuration,DOHC
8,Engine and Transmission,Fuel Suppy System,Electronic Fuel Injection(EFI)
9,Engine and Transmission,BoreX Stroke,90 X 98 mm
10,Engine and Transmission,Turbo Charger,No
11,Engine and Transmission,Super Charger,No
12,Dimensions & Capacity,Length,4825mm
13,Dimensions & Capacity,Width,1825mm
14,Dimensions & Capacity,Height,1480mm
15,Dimensions & Capacity,Wheel Base,2775mm
16,Dimensions & Capacity,Front Tread,1580mm
17,Dimensions & Capacity,Rear Tread,1570mm
18,Dimensions & Capacity,Kerb Weight,1625kg
19,Dimensions & Capacity,Gross Weight,2100kg
20,Miscellaneous,Gear Box,6 Speed 
21,Miscellaneous,Drive Type,FWD
22,Miscellaneous,Seating Capacity,5
23,Miscellaneous,Steering Type,Power
24,Miscellaneous,Turning Radius,5.5 metres
25,Miscellaneous,Front Brake Type,Ventilated Disc
26,Miscellaneous,Rear Brake Type,Solid Disc
27,Miscellaneous,Tyre Type,"Tubeless,Radial"
28,Miscellaneous,Alloy Wheel Size,17
29,Miscellaneous,No Door Numbers,4
30,Engine and Transmission,Color,Red
31,Engine and Transmission,Engine Type,0.8L Petrol Engine
32,Engine and Transmission,Displacement,799
33,Engine and Transmission,Max Power,53.64bhp@5678rpm
34,Engine and Transmission,Max Torque,72Nm@4386rpm
35,Engine and Transmission,No of Cylinder,3
36,Engine and Transmission,Values per Cylinder,4
37,Engine and Transmission,Value Configuration,DOHC
38,Engine and Transmission,Fuel Suppy System,MPFi
39,Engine and Transmission,Turbo Charger,No
40,Engine and Transmission,Super Charger,No
41,Dimensions & Capacity,Length,3429mm
42,Dimensions & Capacity,Width,1560mm
43,Dimensions & Capacity,Height,1541mm
44,Dimensions & Capacity,Ground Clearance Unladen,185mm
45,Dimensions & Capacity,Wheel Base,2348mm
46,Dimensions & Capacity,Kerb Weight,770
47,Miscellaneous,Gear Box,5-Speed
48,Miscellaneous,Drive Type,2WD
49,Miscellaneous,Seating Capacity,5
50,Miscellaneous,Steering Type,Power
51,Miscellaneous,Turning Radius,4.7m
52,Miscellaneous,Front Brake Type,Disc
53,Miscellaneous,Rear Brake Type,Drum
54,Miscellaneous,No Door Numbers,5
55,Miscellaneous,Cargo Volumn,222
56,Engine and Transmission,Color,Blue
57,Engine and Transmission,Engine Type,1.0L energy
58,Engine and Transmission,Displacement,999
59,Engine and Transmission,Max Power,71.01bhp@6250rpm
60,Engine and Transmission,Max Torque,96Nm@3500rpm
61,Engine and Transmission,No of Cylinder,3
62,Engine and Transmission,Values per Cylinder,4
63,Engine and Transmission,Fuel Suppy System,MPFi
64,Dimensions & Capacity,Length,3991mm
65,Dimensions & Capacity,Width,1750
66,Dimensions & Capacity,Height,1605
67,Dimensions & Capacity,Wheel Base,2500
68,Dimensions & Capacity,Front Tread,1536
69,Dimensions & Capacity,Rear Tread,1535
